inTp,inHd,measDtStr,otmsuplyqy,acSlrdQy,frmhsId,cunt,ph,outTp,outWs,daysuplyqy,inCo2,ec
13.625,86.375,20180428030000 ,0,0,25,0,0,7.45,0,0,496.75,0
13.825,88.05,20180428040000 ,0,0,25,0,0,8.6,0,0,513,0
14.025,90.6,20180428050000 ,0,0,25,0,0,9.5,0,0,530.75,0
14.375,92.925,20180428060000 ,0,0,25,0,0,10.225,0.025,0,549,0
15.375,94.45,20180428070000 ,0,0,25,0,0,10.4,0,0,548,0
17.275,93.4,20180428080000 ,0,0,25,0,0,10.75,0,0,500,0
20.025,87.925,20180428090000 ,0,0,25,0,0,11.35,0,0,349.5,0
22.025,74.3,20180428100000 ,0,0,25,0,0,12.975,0,0,275.25,0
25.2,56.925,20180428110000 ,0,0,25,0,0,16.875,1.2,0,279.5,0
26.65,49.7,20180428120000 ,0,0,25,0,0,18.85,3.45,0,277.5,0
26.875,46.05,20180428130000 ,0,0,25,0,0,19.45,3.425,0,282.75,0
26.65,42.55,20180428140000 ,0,0,25,0,0,19.925,3.425,0,283.75,0
26.25,41.825,20180428150000 ,0,0,25,0,0,19.725,3.875,0,282,0
25.55,41.925,20180428160000 ,0,0,25,0,0,19.425,3.5,0,281.5,0
23.875,49.75,20180428170000 ,0,0,25,0,0,19.35,1.5,0,291.25,0
21.3,63.25,20180428180000 ,0,0,25,0,0,17.5,0.925,0,297,0
17.725,77.225,20180428190000 ,0,0,25,0,0,15.2,0.45,0,316.25,0
15.625,84.1,20180428200000 ,0,0,25,0,0,13.3,0.25,0,348.75,0
14.4,84.125,20180428210000 ,0,0,25,0,0,12.65,0.175,0,382.5,0
14.1,83.925,20180428220000 ,0,0,25,0,0,10.85,0.1,0,411,0
14.275,83.775,20180428230000 ,0,2196,25,0,0,9.925,0,0,434.25,0
14.525,82.35,20180429000000 ,0,0,25,0,0,9,0,0,455.5,0
14.425,82.8,20180429010000 ,0,0,25,0,0,8.6,0,0,474.75,0
14,82.725,20180429020000 ,0,0,25,0,0,8.05,0,0,493.5,0
13.65,83.45,20180429030000 ,0,0,25,0,0,7,0,0,512.5,0
13.375,84.025,20180429040000 ,0,0,25,0,0,6.225,0,0,529.75,0
13.15,84.875,20180429050000 ,0,0,25,0,0,6.05,0,0,549.75,0
12.975,85.525,20180429060000 ,0,0,25,0,0,6.475,0,0,560.25,0
16.75,82.475,20180429070000 ,0,0,25,0,0,9.1,0.275,0,484.5,0
19.625,76.775,20180429080000 ,0,0,25,0,0,11.675,0.95,0,327,0
21.65,64.95,20180429090000 ,0,0,25,0,0,15.75,0.75,0,300,0
23.6,48.2,20180429100000 ,0,0,25,0,0,19.2,0.425,0,295,0
26.825,37.7,20180429110000 ,0,0,25,0,0,21.275,0.925,0,288,0
28.7,39.025,20180429120000 ,0,0,25,0,0,21.95,1.925,0,281,0
29.075,40.25,20180429130000 ,0,0,25,0,0,22.025,2.7,0,275.5,0
28.8,41.5,20180429140000 ,0,0,25,0,0,22.15,2.95,0,279.75,0
27.475,45.625,20180429150000 ,0,0,25,0,0,21.9,2.75,0,286.75,0
25.325,50.875,20180429160000 ,0,0,25,0,0,20.675,2.6,0,294.75,0
24.05,58.225,20180429170000 ,0,0,25,0,0,19.575,2,0,297.5,0
21.425,70.875,20180429180000 ,0,0,25,0,0,16.975,1.75,0,301.25,0
18.2,81.6,20180429190000 ,0,0,25,0,0,13.475,0.65,0,326,0
16.35,84.55,20180429200000 ,0,0,25,0,0,12.5,0,0,358,0
15.275,85.3,20180429210000 ,0,0,25,0,0,12.05,0,0,386,0
14.7,86.13333333,20180429220000 ,0,0,25,0,0,11.6,0,0,408.6666667,0
16.2,86.7,20180430000000 ,0,0,25,0,0,11.3,0,0,463,0
16.15,87.125,20180430010000 ,0,0,25,0,0,11.8,0,0,468.5,0
15.85,90.925,20180430020000 ,0,0,25,0,0,12.575,0.8,0,474.75,0
15.825,93.25,20180430030000 ,0,0,25,0,0,12.675,1.1,0,481.5,0
15.675,93.675,20180430040000 ,0,0,25,0,0,12.7,1.275,0,488,0
15.675,93.375,20180430050000 ,0,0,25,0,0,12.95,0.9,0,503,0
16.275,95.025,20180430060000 ,0,0,25,0,0,13.4,1.375,0,518.5,0
17.725,94.575,20180430070000 ,0,0,25,0,0,14.15,1.8,0,497.5,0
20.325,87.125,20180430080000 ,0,0,25,0,0,16.25,1.05,0,367,0
22.75,67.625,20180430090000 ,0,0,25,0,0,20.15,1.05,0,306.5,0
24.975,61.275,20180430100000 ,0,0,25,0,0,22.225,2.575,0,297,0
26.15,61.15,20180430110000 ,0,0,25,0,0,22.725,2.325,0,291,0
27.3,58.5,20180430120000 ,0,0,25,0,0,23.7,1.975,0,289.25,0
27.725,57.75,20180430130000 ,0,0,25,0,0,24.25,2.225,0,291.5,0
27.95,59.5,20180430140000 ,0,0,25,0,0,24.425,2,0,288.25,0
27.825,61.2,20180430150000 ,0,0,25,0,0,25,2.25,0,300,0
26.7,64.975,20180430160000 ,0,0,25,0,0,24.125,1.95,0,297.25,0
25.025,69.025,20180430170000 ,0,0,25,0,0,22.9,1.875,0,293.25,0
22.875,77.2,20180430180000 ,0,0,25,0,0,21.65,1.225,0,306.75,0
20.35,84.325,20180430190000 ,0,0,25,0,0,19.75,0.65,0,319,0
19.275,87.1,20180430200000 ,0,0,25,0,0,19.15,0.45,0,313.5,0
18.825,88.925,20180430210000 ,0,0,25,0,0,18.825,0,0,325.25,0
18.575,90.425,20180430220000 ,0,0,25,0,0,18.6,0,0,336.75,0
18,93.475,20180430230000 ,0,1797,25,0,0,18,0,0,357.75,0
17.55,94.5,20180501000000 ,0,0,25,0,0,17.45,0,0,375.75,0
16.7,94.6,20180501010000 ,0,0,25,0,0,17.05,0,0,388.25,0
16.1,94.45,20180501020000 ,0,0,25,0,0,16.25,0,0,399.25,0
15.55,94.75,20180501030000 ,0,0,25,0,0,15.4,0,0,426.25,0
15.425,94.225,20180501040000 ,0,0,25,0,0,13.825,0,0,447.75,0
15.225,94.05,20180501050000 ,0,0,25,0,0,13.525,0.525,0,469,0
15.625,93.675,20180501060000 ,0,0,25,0,0,14.25,0.05,0,480,0
18.475,89.75,20180501070000 ,0,0,25,0,0,15.7,0,0,417.75,0
22.325,79.7,20180501080000 ,0,0,25,0,0,19.275,0.35,0,322.5,0
24.775,70.2,20180501090000 ,0,0,25,0,0,22.175,0.45,0,292.25,0
26.525,61.85,20180501100000 ,0,0,25,0,0,22.925,1.425,0,285.5,0
26.375,63.4,20180501110000 ,0,0,25,0,0,23.45,1.175,0,281,0
27.75,60.7,20180501120000 ,0,0,25,0,0,24.35,1.175,0,282.5,0
28.875,58.025,20180501130000 ,0,0,25,0,0,25.525,0.75,0,282,0
27.95,62.9,20180501140000 ,0,0,25,0,0,25.025,2,0,277.5,0
26.05,69.025,20180501150000 ,0,0,25,0,0,23.55,1.8,0,293.75,0
25.575,70.05,20180501160000 ,0,0,25,0,0,23.575,1.5,0,289.75,0
25.15,70.275,20180501170000 ,0,0,25,0,0,22.975,2.15,0,288.75,0
23.075,77.05,20180501180000 ,0,0,25,0,0,21.7,1.75,0,296.25,0
21.325,84.225,20180501190000 ,0,0,25,0,0,20.7,0.3,0,316.5,0
20.325,87.475,20180501200000 ,0,0,25,0,0,20.35,0,0,330,0
19.625,89.95,20180501210000 ,0,0,25,0,0,19.65,0,0,347.75,0
19.2,92.325,20180501220000 ,0,0,25,0,0,19.25,0,0,371.25,0
19.175,93.425,20180501230000 ,52.375,1597,25,25.66666667,5.733144432,19.025,0,0,411,2.428128577
19.05,94.55,20180502000000 ,0,0,25,0,0,18.575,0,0,402.25,0
19.075,94.875,20180502010000 ,0,0,25,0,0,18.7,0,0,370.75,0
19.225,96.075,20180502020000 ,0,0,25,0,0,18.475,0.175,0,386.25,0
19.25,97.45,20180502030000 ,0,0,25,0,0,18.375,0.275,0,410.5,0
19.2,97.525,20180502040000 ,0,0,25,0,0,18.3,0.85,0,433.5,0
19.15,97.75,20180502050000 ,0,0,25,0,0,18.225,1.075,0,454.5,0
19.175,97.525,20180502060000 ,0,0,25,0,0,17.875,1.2,0,471,0
19.475,93.325,20180502070000 ,0,0,25,0,0,17.525,0.7,0,307.75,0
21.475,85.35,20180502080000 ,0,0,25,0,0,18.725,0,0,286.75,0
24.225,76.025,20180502090000 ,0,0,25,0,0,20.525,0.35,0,282,0
25.8,70.125,20180502100000 ,0,0,25,0,0,22.225,0.35,0,277.75,0
25.525,71.45,20180502110000 ,0,0,25,0,0,21.775,1.575,0,273.75,0
26.275,70.45,20180502120000 ,0,0,25,0,0,21.9,3.725,0,276.25,0
26.475,71.525,20180502130000 ,0,0,25,0,0,21.6,4.625,0,283.75,0
24.35,78.05,20180502140000 ,0,0,25,0,0,19.725,5.15,0,290.5,0
21.425,88.825,20180502150000 ,0,0,25,0,0,14.95,4.2,0,290.5,0
19.65,90.475,20180502160000 ,0,0,25,0,0,12.925,5.95,0,299.5,0
19.3,88.6,20180502170000 ,0,0,25,0,0,11.45,5.05,0,290.25,0
18.95,88.95,20180502180000 ,0,0,25,0,0,11.6,5,0,297.25,0
17.8,87.925,20180502190000 ,0,0,25,0,0,11.225,4.75,0,316,0
16.775,83.4,20180502200000 ,0,0,25,0,0,10.95,3.775,0,321,0
16.05,83.825,20180502210000 ,0,0,25,0,0,10.75,3.55,0,319.25,0
15.65,83.85,20180502220000 ,0,0,25,0,0,10.625,2.5,0,324,0
15.175,84.1,20180502230000 ,47.245,1201,25,21.33333333,5.747750057,10.625,1.7,0,326,2.437140199
14.725,83.55,20180503000000 ,0,0,25,0,0,10.425,1.75,0,330.25,0
14.375,83.925,20180503010000 ,0,0,25,0,0,10.5,2.1,0,344.5,0
13.775,84.675,20180503020000 ,0,0,25,0,0,9.85,1.625,0,361.5,0
13.35,85.025,20180503030000 ,0,0,25,0,0,9.85,2.425,0,378.5,0
12.95,86.525,20180503040000 ,0,0,25,0,0,9.725,1.575,0,393.25,0
13.15,85.975,20180503050000 ,0,0,25,0,0,9.125,0.9,0,406.25,0
13.3,87.25,20180503060000 ,0,0,25,0,0,9.65,1.275,0,418,0
16.975,82.95,20180503070000 ,0,0,25,0,0,11.6,3.4,0,347.5,0
